bootstrap_base_quotes completed at 20260603 19:09:36 UTC
elapsed_secs=420.3
rows=86
wrote_json=False
missing_count=1

sources:
  fallback: 85
  missing: 1

missing:
  83:YIA

quotes:
   56 CMCSA bid=23.7 ask=23.71 bid_size=3800.0 ask_size=2100.0 source=fallback local=None expiry=None
   57 PFE bid=25.45 ask=25.46 bid_size=1300.0 ask_size=2700.0 source=fallback local=None expiry=None
   58 PM bid=177.24 ask=177.33 bid_size=100.0 ask_size=100.0 source=fallback local=None expiry=None
   59 UPS bid=108.63 ask=108.73 bid_size=100.0 ask_size=400.0 source=fallback local=None expiry=None
   60 RTX bid=175.39 ask=175.55 bid_size=200.0 ask_size=100.0 source=fallback local=None expiry=None
   61 LOW bid=206.29 ask=206.55 bid_size=100.0 ask_size=300.0 source=fallback local=None expiry=None
   62 HON bid=231.0 ask=231.21 bid_size=100.0 ask_size=100.0 source=fallback local=None expiry=None
   63 QCOM bid=249.65 ask=249.86 bid_size=300.0 ask_size=100.0 source=fallback local=None expiry=None
   64 NEE bid=85.39 ask=85.43 bid_size=100.0 ask_size=200.0 source=fallback local=None expiry=None
   65 IBM bid=307.64 ask=308.06 bid_size=100.0 ask_size=100.0 source=fallback local=None expiry=None
   66 ES bid=7578.5 ask=7578.75 bid_size=6.0 ask_size=50.0 source=fallback local=None expiry=None
   67 NQ bid=30594.25 ask=30594.75 bid_size=3.0 ask_size=2.0 source=fallback local=None expiry=None
   68 ESTX50 bid=6053.0 ask=6054.0 bid_size=41.0 ask_size=134.0 source=fallback local=None expiry=None
   69 MNI bid=68240.0 ask=68250.0 bid_size=10.0 ask_size=2.0 source=fallback local=None expiry=None
   70 CL bid=96.25 ask=96.27 bid_size=3.0 ask_size=5.0 source=fallback local=None expiry=None
   71 BZ bid=98.1 ask=98.13 bid_size=2.0 ask_size=2.0 source=fallback local=None expiry=None
   72 NG bid=3.23 ask=3.231 bid_size=23.0 ask_size=11.0 source=fallback local=None expiry=None
   73 GC bid=4438.3 ask=4438.8 bid_size=1.0 ask_size=1.0 source=fallback local=None expiry=None
   74 SI bid=73.475 ask=73.495 bid_size=1.0 ask_size=2.0 source=fallback local=None expiry=None
   75 PL bid=1866.1 ask=1868.4 bid_size=1.0 ask_size=1.0 source=fallback local=None expiry=None
   76 HG bid=6.4735 ask=6.4755 bid_size=5.0 ask_size=4.0 source=fallback local=None expiry=None
   77 ZC bid=434.0 ask=434.25 bid_size=110.0 ask_size=1198.0 source=fallback local=None expiry=None
   78 ZW bid=587.0 ask=587.25 bid_size=8.0 ask_size=96.0 source=fallback local=None expiry=None
   79 ZS bid=1155.25 ask=1155.5 bid_size=33.0 ask_size=155.0 source=fallback local=None expiry=None
   80 LE bid=247.025 ask=247.1 bid_size=6.0 ask_size=1.0 source=fallback local=None expiry=None
   81 HE bid=96.15 ask=96.225 bid_size=14.0 ask_size=5.0 source=fallback local=None expiry=None
   82 SOFR3 bid=96.3675 ask=96.37 bid_size=1073857.0 ask_size=678694.0 source=fallback local=None expiry=None
   83 YIA bid=None ask=None bid_size=1.0 ask_size=1.0 source=missing local=None expiry=None
   84 GBL bid=125.47 ask=125.48 bid_size=169.0 ask_size=1663.0 source=fallback local=None expiry=None
   85 CONF bid=155.34 ask=155.98 bid_size=1.0 ask_size=1.0 source=fallback local=None expiry=None
