section,rank,lags,score,median_signal_strength,stability_penalty,phi_std_sum,mean_abs_phi,max_abs_phi,n_lags
tick_mid,1,"(1,)",-4.4071034488430875e-05,0.0,4.4071034488430875e-05,4.4071034488430875e-05,1.1696939048805122e-05,0.00029623611712504985,1
tick_mid,2,"(130,)",-0.003735551458996787,0.0,0.003735551458996787,0.003735551458996787,0.002823303243147403,0.011214586853455406,1
tick_mid,3,"(1, 130)",-0.0037909294159409455,0.0,0.0037909294159409455,0.0037909294159409455,0.0014236205683315437,0.011221819432161537,2
tick_mid,4,"(470,)",-0.004035995930100893,0.0,0.004035995930100893,0.004035995930100893,0.003085269813424367,0.011890089987091566,1
tick_mid,5,"(1, 470)",-0.004092143113190313,0.0,0.004092143113190313,0.004092143113190313,0.0015554763384406942,0.011890090331312698,2
tick_mid,6,"(290,)",-0.004166339501308785,0.0,0.004166339501308785,0.004166339501308785,0.00360368298085911,0.01226261546941406,1
tick_mid,7,"(1, 290)",-0.00422262398434579,0.0,0.00422262398434579,0.00422262398434579,0.0018158631217904992,0.012264620213983404,2
tick_mid,8,"(18,)",-0.004317964267598785,0.0,0.004317964267598785,0.004317964267598785,0.0033423061173107503,0.01716908370521622,1
tick_mid,9,"(1, 18)",-0.004381072994016766,0.0,0.004381072994016766,0.004381072994016766,0.0016858352252256575,0.01716908418103618,2
tick_mid,10,"(240,)",-0.004416365510750168,0.0,0.004416365510750168,0.004416365510750168,0.003439119071638407,0.011248890624055307,1
tick_mid,11,"(370,)",-0.004435781378809077,0.0,0.004435781378809077,0.004435781378809077,0.0035816412112055734,0.012308639374075165,1
tick_mid,12,"(1, 240)",-0.004471874171899521,0.0,0.004471874171899521,0.004471874171899521,0.0017341702689249935,0.011249075751673223,2
tick_mid,13,"(1, 370)",-0.004486410411930271,0.0,0.004486410411930271,0.004486410411930271,0.001803600496219737,0.012308861419876983,2
tick_mid,14,"(150,)",-0.0045707934997805295,0.0,0.0045707934997805295,0.0045707934997805295,0.003568486418783143,0.01415410322304896,1
tick_mid,15,"(40,)",-0.004591637606527819,0.0,0.004591637606527819,0.004591637606527819,0.0037243207743196645,0.010611035798249945,1
tick_mid,16,"(49,)",-0.004616139832788783,0.0,0.004616139832788783,0.004616139832788783,0.003586333385641658,0.01343606918233865,1
tick_mid,17,"(1, 150)",-0.004623685118314117,0.0,0.004623685118314117,0.004623685118314117,0.0017967877761305277,0.014155219549813657,2
tick_mid,18,"(1, 40)",-0.004640158471174718,0.0,0.004640158471174718,0.004640158471174718,0.0018736137437623413,0.01061097100965079,2
tick_mid,19,"(400,)",-0.004649470722842735,0.0,0.004649470722842735,0.004649470722842735,0.0035645188165631635,0.014309583536513423,1
tick_mid,20,"(1, 49)",-0.004664185361762823,0.0,0.004664185361762823,0.004664185361762823,0.001806158699728916,0.013435918459794681,2
tick_mid,21,"(310,)",-0.0046904135994654825,0.0,0.0046904135994654825,0.0046904135994654825,0.00371203546233421,0.012988925652716914,1
tick_mid,22,"(1, 400)",-0.004701479990055259,0.0,0.004701479990055259,0.004701479990055259,0.0017960847152205402,0.014310929770660922,2
tick_mid,23,"(250,)",-0.004718568421478347,0.0,0.004718568421478347,0.004718568421478347,0.0032992679512492333,0.014530510415219714,1
tick_mid,24,"(1, 310)",-0.004754999566774109,0.0,0.004754999566774109,0.004754999566774109,0.0018716580629662325,0.012990122038100111,2
tick_mid,25,"(1, 250)",-0.004768719249023202,0.0,0.004768719249023202,0.004768719249023202,0.0016616428144356802,0.01453052498352933,2
tick_mid,26,"(90,)",-0.004906018493085592,0.0,0.004906018493085592,0.004906018493085592,0.00357843888827762,0.01878625889094696,1
tick_mid,27,"(550,)",-0.0049534497988165515,0.0,0.0049534497988165515,0.0049534497988165515,0.0038572380744184187,0.015664743437130504,1
tick_mid,28,"(1, 90)",-0.0049614169518937806,0.0,0.0049614169518937806,0.0049614169518937806,0.0018017924848097882,0.018787130732291157,2
tick_mid,29,"(160,)",-0.0049683000465131945,0.0,0.0049683000465131945,0.0049683000465131945,0.0037974687303450982,0.016521864024638937,1
tick_mid,30,"(570,)",-0.004979736882113724,0.0,0.004979736882113724,0.004979736882113724,0.0039163133388774645,0.015446412384290426,1
tick_micro,1,"(1, 4, 7)",49.11657586929643,49.24956633531202,0.13299046601558687,0.13299046601558687,0.07857995750413879,0.28449720877554713,3
tick_micro,2,"(1, 4, 6)",49.106127186344324,49.247885186655346,0.14175800031101948,0.14175800031101948,0.08075319169204392,0.2848726364712621,3
tick_micro,3,"(1, 6, 7)",49.01273553087909,49.14848774157037,0.13575221069127644,0.13575221069127644,0.08421130639218213,0.2835483073341739,3
tick_micro,4,"(1, 7, 8)",48.97935686696328,49.10210905754373,0.12275219058044902,0.12275219058044902,0.08278308982557243,0.2830997807728206,3
tick_micro,5,"(1, 4, 8)",48.96945022491058,49.09903345879626,0.12958323388567866,0.12958323388567866,0.0789645854395615,0.2843507998076176,3
tick_micro,6,"(1, 4, 5)",48.96841096665525,49.116925227114685,0.14851426045943436,0.14851426045943436,0.08071109507391273,0.2839269619665356,3
tick_micro,7,"(1, 4, 9)",48.93751078508983,49.0736792779069,0.1361684928170696,0.1361684928170696,0.07599999761730432,0.2842567352696281,3
tick_micro,8,"(1, 5, 6)",48.93048903141515,49.07430529219709,0.14381626078193993,0.14381626078193993,0.08364338692883147,0.28272292097034046,3
